+------------+----------------------------------------------------------------------------+
|   Symbol   |                                   error                                    |
+------------+----------------------------------------------------------------------------+
| qtum_usdt  |                                  划转失败                                  |
|  eos_btc   |                                  划转失败                                  |
| xas_usdt   |    该用例检验参数:moneyPrecision:0.00000001与OrderBook精度:0.0744不一致    |
| ont_usdt   |                        交易所或OrderBook未找到该币对                       |
|  eth_btc   |                                  划转失败                                  |
|  trx_btc   |                                  划转失败                                  |
| btc_usdt   |                     下单失败:价格8097.7,数量0.00100001                     |
| btc_usdk   |                     下单失败:价格8152.3,数量0.00100001                     |
| qtum_okb   |                              内层func执行异常                              |
| fsn_usdk   |       该用例检验参数:moneyPrecision:0.0001与OrderBook精度:0.01不一致       |
| spnd_usdk  |                        交易所或OrderBook未找到该币对                       |
| ont_usdt   |                        交易所或OrderBook未找到该币对                       |
|  neo_okb   |                        交易所或OrderBook未找到该币对                       |
| trio_btc   |  该用例检验参数:moneyPrecision:0.000000001与OrderBook精度:0.00000001不一致 |
| iost_btc   |                                  划转失败                                  |
|  leo_eth   |                 撤单失败,状态completed,单号3790542117341184                |
| dash_btc   |                                  划转失败                                  |
| doge_usdt  |                              内层func执行异常                              |
|  aac_btc   |                        交易所或OrderBook未找到该币对                       |
|  zen_eth   |    该用例检验参数:moneyPrecision:0.0001与OrderBook精度:0.00000001不一致    |
|  pay_btc   |                              内层func执行异常                              |
|  bch_btc   |                                  划转失败                                  |
|  stc_btc   |  该用例检验参数:moneyPrecision:0.000000001与OrderBook精度:0.00000001不一致 |
|  xrp_btc   |                                  划转失败                                  |
|  aac_btc   |                        交易所或OrderBook未找到该币对                       |
| doge_usdk  |                              内层func执行异常                              |
| nuls_eth   |    该用例检验参数:moneyPrecision:0.00001与OrderBook精度:0.00000252不一致   |
| ltc_usdt   |                                  划转失败                                  |
| nano_eth   |    该用例检验参数:moneyPrecision:0.00001与OrderBook精度:0.00000002不一致   |
| iota_okb   |                              内层func执行异常                              |
| xas_usdt   |        下单后币种精度与OrderBook不相符,价格精度0.0689,数量精度0.1001       |
|  hmc_btc   |                              内层func执行异常                              |
| spnd_btc   |                        交易所或OrderBook未找到该币对                       |
| btc_usdt   |                                  划转失败                                  |
| eos_usdt   |                                  划转失败                                  |
| yee_usdt   |     该用例检验参数:moneyPrecision:0.000001与OrderBook精度:0.00115不一致    |
|  etc_btc   |                                  划转失败                                  |
| spnd_usdk  |                        交易所或OrderBook未找到该币对                       |
|  neo_okb   |                        交易所或OrderBook未找到该币对                       |
| spnd_btc   |                        交易所或OrderBook未找到该币对                       |
+------------+----------------------------------------------------------------------------+
