+-------------+------------------------------------------------------------------------+
|    Symbol   |                                 error                                  |
+-------------+------------------------------------------------------------------------+
|   xtz_btc   |                          OrderBook未找到该币对                         |
|  trx_usdt   |                             外func执行异常                             |
|  dash_okb   |       该用例检验参数:moneyPrecision:0.1与OrderBook精度:0.02不一致      |
| storj_usdt  |     该用例检验参数:moneyPrecision:0.0001与OrderBook精度:0.001不一致    |
|  dash_usdt  |                             外func执行异常                             |
|  cro_usdk   |     该用例检验参数:moneyPrecision:0.0001与OrderBook精度:0.001不一致    |
|  eos_usdt   |                             外func执行异常                             |
|  ltc_usdt   |                             外func执行异常                             |
|  xrp_usdt   |                             外func执行异常                             |
|   bsv_btc   |                                划转失败                                |
|  bch_usdt   |                                划转失败                                |
|  xas_usdt   |  该用例检验参数:moneyPrecision:0.00000001与OrderBook精度:0.0626不一致  |
|  gusd_btc   |  该用例检验参数:moneyPrecision:0.0000001与OrderBook精度:0.000108不一致 |
|  nuls_eth   |  该用例检验参数:moneyPrecision:0.00001与OrderBook精度:0.00001478不一致 |
|  yee_usdt   |   该用例检验参数:moneyPrecision:0.000001与OrderBook精度:0.00035不一致  |
|  xtz_usdt   |                          OrderBook未找到该币对                         |
|  qtum_usdt  |                             外func执行异常                             |
|  bsv_usdt   |                             外func执行异常                             |
|   ltc_btc   |                                划转失败                                |
|   eth_btc   |                                划转失败                                |
|  nano_eth   |  该用例检验参数:moneyPrecision:0.00001与OrderBook精度:0.00000002不一致 |
|  qtum_btc   |                                划转失败                                |
|  etc_usdt   |                             外func执行异常                             |
|   bch_btc   |                                划转失败                                |
|  fsn_usdk   |     该用例检验参数:moneyPrecision:0.0001与OrderBook精度:0.01不一致     |
|   eos_btc   |                                划转失败                                |
|  dash_btc   |                                划转失败                                |
|   trx_btc   |                                划转失败                                |
|  btc_usdt   |                             外func执行异常                             |
|  eth_usdt   |                             外func执行异常                             |
|   etc_btc   |                                划转失败                                |
|   xrp_btc   |                                划转失败                                |
+-------------+------------------------------------------------------------------------+
